Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team,salary,position,season,height
Grayson Allen,SG,24,MEM,38,718,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.08199999999999999,-0.1,-1.2,-1.3,0.1,Memphis Grizzlies,2429400, SG,2019-2020,195.58
Grayson Allen,SG,24,MEM,38,718,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.08199999999999999,-0.1,-1.2,-1.3,0.1,Memphis Grizzlies,2429400, SG,2019-2020,193.04
Grayson Allen,SG,24,MEM,38,718,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.08199999999999999,-0.1,-1.2,-1.3,0.1,Memphis Grizzlies,2429400, SG,2019-2020,193.04
Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013000000000000001,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,Brooklyn Nets,2376840, C,2019-2020,210.82
Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013000000000000001,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,Brooklyn Nets,2376840, C,2019-2020,210.82
Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013000000000000001,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,Brooklyn Nets,2376840, C,2019-2020,210.82
Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013000000000000001,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,Brooklyn Nets,2376840, C,2019-2020,210.82
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.013999999999999999,-4.4,1.4,-3.0,-0.1,Orlando Magic,9258000, PF,2019-2020,205.74
